Entity Type,Title,Description,Topic,Subject Area,Score
,OUT OF SERVICE Vendor Demo - Ukazka,Vendor Demo of SCORM content,"Business, Finance, and Accountancy",,0.90359724
,Accounting Specialist - Real Estate,"A classroom training event to provide participants with:
a deep-rooted working knowledge of accounting trends & standards regarding real estate and documentation requirements 
an understanding of the key differences between IFRS & US GAAP 
an understanding of documentation requirements 
know how to work seamless together
Content:

Rules in IFRS and US GAAP for real estate transactions 
Differences between IFRS and US GAAP 
Accounting for Real Estate development (Built to Suit) 
Accounting for sales lease-back transactions involving real estate and special purpose entities 
Lease classification 
Accounting for sale of real estate 
Disclosure and other reporting requirements 
ACM #5
",accounting,DO NOT USE,0.7307703
,OUT OF SERVICE GCTP Deli Associate Course and Assessment,GCTP Deli Associate Course and Assessment Description,service center,,0.8829247
,Violence in the Workplace for Supply Chain Management,"""This course is intended to increase awareness of potentially violent situations and to provide guidelines for handling violence.  The concepts and skills presented will help Supervisors address conflict before it escalates to violence.

Learning objectives for the course include: describe what constitutes “violence” at our company, recognize factors that may trigger violent behavior, maintain a safe workplace by using preventative steps, use techniques to control a potentially violent interaction, execute safety measures in case of an emergency, avoid pitfalls in assessing potentially violent situations, and perform the responsibilities of Supervisors and Managers in addressing potential violence.""
",management,,0.67368054
,AHOLD Values,Ahold Values,Cannot be determined,,Score < threshold
,Electrical pallet refresh (Logistics) ,,logistics,,0.98741513
,Stop & Shop New Hire Orientation Acknowledgment,"Thank you for choosing Stop & Shop - we are happy to have you join our team!

Now that you have learned the key info about our company's strategy and policies, take a moment to indicate that you understand the important details shared with you!

Prerequisite: Attendance at New Hire Onboarding Session
 

Language: English


Need help? Click here

Keywords: sign off, policy

 

Keywords: New Employee, Introduction",,Store Operations,Score < threshold
,Advanced Retail Management - Walking the Store (GL),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail,,0.5848392
,Giant Landover New Hire Orientation Acknowledgment,"Thank you for choosing Giant Landover - we are happy to have you join our team!

Now that you have learned the key info about our company's strategy and policies, take a moment to indicate that you understand the important details shared with you!

Prerequisite: attendance at New Hire onboarding session


Language: English


Need help? Click here

Keywords: sign off, policy

 

Keywords: First day, Introduction",,Creating Alignment,Score < threshold
,Advanced Retail Management - Finance (GL),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,Emergency Response for Distribution & Warehouse Facility Managers & Keyholders,"What should you do if an unexpected accident occurs?

Knowing how to respond appropriately can be the difference between being a hero and a zero!

Language: English

Need help? Click here

 

Keywords: safety, procedures, accidents, best practices, investigation",workplace safety,,0.97601277
,Accident Investigation for Distribution & Warehouse,"You don't have to be Sherlock Holmes or Inspector Clouseau to handle an investigation effectively!

Getting to the facts appropriately after an accident can ensure greater safety in the workplace. Knowing the right procedures can help you, your team and the company!
 

Language: English

Need help? Click here

 

Keywords: safety, procedures, accidents, best practices",,Supply Chain,Score < threshold
,Zo zit je goed,"Leer hoe je jouw kassastoel correct instelt om lichamelijke klachten te voorkomen.


Trefwoorden: kassa, caissiere, caissière, cassiere, kassiere, stoel, kassastoel, lichaamshouding, zitten, zithouding, houding, gezond, gezondheid, ergonomisch, ergonomie, arbo

Hulp nodig? Klik hier",,AH NL Caissière A,Score < threshold
,Advanced Retail Management - Non-Perishable Shrink (GL),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail,,0.6049662
,Vakopleiding assistent drogist Etos,"
In this online course you learn all you need to know to obtain the certificate of proficiency as an assitant-chemist. This course takes approximately 3 months and will be concluded with an exam. You are expected to spend 8 - 10 hours per week on your study. You can read more about this course in the information booklet (Dutch only), which you can find on Etos Plaza.
Language: Dutch
Supplier: IMKO Opleidingen
Costs: € 414,15 including exam
Procedure to enroll: Click on Go to Content. After your manager has given you permission in ELM, you can start the course.",,DO NOT USE,Score < threshold
,Vakopleiding verkoop in de drogisterij Etos,"
In this online course you learn all you need to know to obtain the certificate of proficiency for sales at chemists. This course takes approximately 3 months and will be concluded with an exam. You are expected to spend 4 - 5 hours per week on your study. You can read more about this course in the information booklet (Dutch only), which you can find on Etos Plaza.
Language: Dutch
Supplier: IMKO Opleidingen
Costs: € 321,10 including exam
Procedure to enroll: Click on Go to Content. After your manager has given you permission in ELM, you can start the course.",sales,DO NOT USE,0.8830799
,Known Loss Tracking Certification,"Shrink is a significant area of focus in our Good to Great strategy and Known Loss Tracking (KLT) is a key tool in managing Shrink.

Can it be marked down? Does it have to be thrown out? Can we donate to charity? There are so many options when it comes to tracking ""known loss"" items. Be sure you know everything you need to know about this important tool by taking this quick certification.

Language: English

Need help? Click here

 

Keywords: Authorization, disposal, damage, Shrink Dashboard, reclamation, credit, damaged in transit, resets, recalls, shipping errors",,Store Operations,Score < threshold
,Advanced Retail Management - Perishable Sales & Freshness (GL),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,Nix voor je gezondheid,"Alcohol is extra slecht voor de gezondheid van jongeren. Een arts van het Erasmus Medisch Centrum legt uit waarom.


Trefwoorden: NIX18, nixx, nix 18, alcohol, tabak, alcoholverkoop, A&T, caissiere, kassa, cassiere, caissière, caissieres, gezondheid, smjnv, soms moet je nee verkopen

Hulp nodig? Klik hier",,AH NL Caissière A,Score < threshold
,Advanced Retail Management - Audit (GL),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,SSGL Self Check Out Refresher,Stop & Shop and Giant Landover Self Check Out Refresher 2011,,DO NOT USE,Score < threshold
,Procedure van NIX,"Oefen met leeftijd schatten, fris je kennis van de regels op en leer hoe je de schermen van de kassablokkade correct doorloopt.


Trefwoorden: NIX18, nixx, nix 18, kassablokkade, alcohol, tabak, alcoholverkoop, A&T, caissiere, kassa, cassiere, caissière, caissieres, smjnv, soms moet je nee verkopen

Hulp nodig? Klik hier",,AH NL Caissière B,Score < threshold
,Advanced Retail Management - HR Skills and Labor Relations (GL),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,Teamavond NIX18 - 100% ID Alcohol en Tabak,"Organiseer een teamavond alcohol en tabak om jouw team de wetgeving rondom aankoop van alcohol en tabak en de richtlijnen rondom legitimatieplicht te leren! Samen gaan we voor 100% ID controle!

Deze teamavond wordt in de winkel georganiseerd door Teamleider Verkoopafhandeling en eventueel ondersteund door (A)SM.

Gebruik de volgende hulpmiddelen om de teamavond voor te bereiden (klik op de blauwe paperclip hieronder):
* Handleiding Teamavond 100% ID
* Fotoboekje Teamavond 100% ID (in kleur te bestellen via de bestellijst opleidingsmaterialen op SAM)

Na de teamavond kennen de deelnemers het volgende:
- Wet- en regelgeving rondom verkoop van alcohol en tabak aan jongeren
- Richtlijnen rondom legitimatieplicht bij verkoop van alcohol en tabak aan jongeren
- Bewust van de positieve en negatieve ervaringen van caissières bij het vragen naar ID
- Weten welke oplossingen andere caissières hier zelf voor hanteren
- Zijn op de hoogte van de ondersteunende rol die het management (TL's & (A)SM's) hierbij heeft

Aanleiding voor het organiseren van deze Teamavond:
- De winkel scoort nog geen 100% bij een controle door een derde partij (bijv. audit) bij het vragen naar legitimatie aan de kassa.
- Na observatie door de Teamleider/(Assistent) Supermarktmanager is gebleken dat caissières niet naar ID vragen of dat zij de procedure omtrent kassablokkade niet correct opvolgen.

Aanmeldingsprocedure: De winkel organiseert zelf lokaal een teamavond.

Voorkennis: Caissières zijn bekend met de wetgeving en het beleid van AH rondom legitimatieplicht doordat zij de opleiding caissière (A en/of B) gevolgd hebben.
Trefwoorden: <add words that help users find this learning, don’t repeat title or description>

Hulp nodig? Klik hier",,AH NL Caissière A,Score < threshold
,Advanced Retail Management - Perishable Product Knowledge (GL),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,Coaching & Mentoring Clinic,"Aanleren / verbeteren van coachingsvaardigheden. De training is een mix van coaching, intervisie en training, bedoeld voor mentoren in de diverse AH opleidingen in MD programma's. Zaken die vaak aan bod komen zijn: omgaan met emoties van de mentee of van de mentor, omgaan met overtuigingen, persoonlijke drijfveren, communicatie op meerdere niveaus. Een praktische training waar zoveel mogelijk de eigen vraagstukken worden ingebracht.
Kosten zijn Eur 800,-- verdeeld over de deelnemers.

",,DO NOT USE,Score < threshold
,Advanced Retail Management - Merchandising for Profit (GL),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail,,0.5675634
,Move_delete,test,test equipment,,0.8128963
,Leadership@Logistics,,logistics,,0.9116347
,OUT OF SERVICE Deli Associate Training (Server Version Mar 6),"To ensure consistency in specified Learning Objectives, Computer Based Training (CBT), a form of e-learning, will be utilized in combination with other training formats.  CBT will provide a generalized overview of the many areas in our stores. Topics covered in Deli are as follows:
1. Introduction
2. Remarkable Customer Service
3. Deli Service Case
4. Food Safety and Associate Safety
5. Sales Floor
6. Rotation and productivity
7. Shrink",,DO NOT USE,Score < threshold
,Advanced Retail Management - CAO (GL),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail,,0.60347295
,SSGL Self Check Out Scan It Refresher,Stop & Shop and Giant Landover Self Check Out Scan It Refresher 2011,Safety and Security,,0.24288976
,Workshop Inzicht in Verkoopafhandeling en training Praktijkgericht leidinggeven,"Verdieping in en aansturing van het proces verkoopafhandeling.

De workshop begint om 8.30 uur. Dit is een gecombineerde workshop/training voor teamleider verkoopafhandeling. Het ochtend deel bestaat uit verdieping op de verschillende rapportages: wat valt je op in de praktijk, met welke rapportages kun je dat verder onderzoeken en hoe combineer je informatie uit de verschillende bronnen.
In het middagdeel oefen je met gesprekken die je op de winkelvloer die je helpen het proces efficiënt aan te sturen.

Voorkennis: Voordat je kunt deelnemen moet je de verplichte onderdelen van het gebied procesaansturing verkoopafhandeling en de toetsen Voorraad op orde, Geld op orde en Kassa & Zelfscan hebben gedaan.Ook maak je de twee voorbereidingsopdrachten voor deze ochtend en middag. (zie paperclip hieronder)
Leverancier: Supermarktmanager en Moovs
Deelnemers: 8 - 12 deelnemers

Hulp nodig? Klik hier",,Store Operations,Score < threshold
,Aansprekend Teamleiderschap,"In deze training ga je aan de slag met je persoonlijke effectiviteit als teamleider en ontdek je hoe je de kwaliteiten binnen je team het beste inzet.

De volgende onderwerpen staan centraal tijdens deze training:
- talenten herkennen en benutten
- leidinggeven aan een team
- sturen op gewenst gedrag binnen een team

LET op: Voor deze training heb je Communicatie I en Workshop Inzicht in Verkoopklaar/Verkoopafhandeling en training Praktijkgericht leidinggeven gevolgd. (zie onder Procesaansturing)

Let op: voorbereidingsopdracht verplicht. Zie de paperclip hieronder.

Leverancier: Moovs
Deelnemers: 10-12

Hulp nodig? Klik hier",Cannot be determined,,Score < threshold
,BHV - Basis,"Wil jij bedrijfshulpverlening kunnen verlenen in jouw winkel? Geef je dan op voor BHV basistraining.

De basisopleiding BHV bestaat uit een theoretisch gedeelte en uit een praktijkdag van twee dagdelen.

Na deze module is de medewerker in staat om:
Zijn rol binnen de verschillende taakgebieden van de BHV te beschrijven.
Een gevaarlijke situatie te herkennen en de juiste maatregelen te treffen.
Een slachtoffer gerust te stellen en hem in noodsituaties te verplaatsen.
Een beginnende brand te beperken en te bestrijden en de veiligheidsvoorzieningen te hanteren.
De 'branddriehoek' toe te passen.
Een ontruiming te begeleiden en de veiligheidsmiddelen te hanteren.

Opzet Trainingsdag: Introductie en kennismaking, herkennen en handelen, preventie brand en gevaarlijke stoffen, ontruiming, inzet brandoefening, schriftelijk examen.

Voorafgaand aan de praktijkdag heeft de deelnemer het cursusboek 'basisopleiding bedrijfshulpverlener' bestudeerd.

Trefwoorden: bedrijfshulpverlening, EHBO, reanimatie, veiligheid, FHV.

Hulp nodig? Klik hier.",,AH NL Assistent Supermarktmanager,Score < threshold
,Advanced Retail Management - Quarterly Budgeting (SS),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,Electronic Communications Policy Overview & Acknowledgement,Electronic Communications Policy Overview & Acknowledgment,communications,DO NOT USE,0.99959356
,Omgaan met NIX,"Bekijk wat jouw collega's tegen klanten zeggen over NIX 18.

Trefwoorden: NIX18, nixx, nix 18, alcohol, tabak, alcoholverkoop, A&T, caissiere, kassa, cassiere, caissière, caissieres, smjnv, soms moet je nee verkopen.

Hulp nodig? Klik hier",,Store Operations,Score < threshold
,Advanced Retail Management - Audit (SS),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,Advanced Retail Management - Billing and Inventory Preparation (SS),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail management,,keyword match
,Ahold Performance Management(PM) and MD Review Cycle ,"""This workshop to support managers to carry out the Ahold Performance Management cycle.

Performance Management (PM in short) is the way we coordinate individual performance on important organizational goals. It involves guiding, leading, developing and appraising employees, bringing together personal development and agreed objectives. At Ahold, employees take charge of their own development. Evidently they can count on the support of their manager and organization. During the year, employees have regular dialogue with their manager on functioning, development and future perspective. During this workshop we guide you tough the cycle and the important moments for you as a manager.



Learning objectives: This workshop explains how Performance management is done within Ahold. 

We adress the folllowing subjects:

• PM  and MD Review proces and yearly schedule

• Talent- and succession profiles



Target group: Managers who are responsible for employees appraised in Performance Management tool. The workshop is explicitly not suitable for managers whose targetgroup of employees are not appraised in Performance Management tool



Pre-requisite knowledge: None



Method: Interactive Workshop



Language: English or Dutch (depending on participants).



Training-agency: Training provided by HR.



Type of training: In-company



Location: Zaandam



Duration: 2 hours



Min-max groupsize: 6-12 participants 



Procedure to enroll: Please add this training to your studyplan and use the button Register / Registreren to register to one of the available dates.You will receive a confirmation of your registration to this course. However, this confirmation remains preliminary, until the minimum number of participants have applied. You will receive a final confirmation including information on the logistics of the training. ""

",management,,0.73966444
,Advanced Retail Management - CAO (SS),"The Advanced Retail Management Training Program is designed to prepare associates for the role of Store Manager. Selection to attend this program is determined through the Management Development process. This technical training program provides associates with detailed training on specific topics and also increases general knowledge of store operations. In addition, this training allows associates to network with other participants and also with the facilitators, who are subject matter experts.
",retail,,0.6125471
,Fresh Packaged Meat New-to-Role Training Program SS,"In our Meat Departments we strive to engage our customers and help them Save Time, Save Money and Eat Well, every day.

Become a Heads Up Meat Associate and learn to handle our Fresh Packaged Meat products efficiently from trailer to cooler to case so they're deliciously fresh when they reach our customers' carts. It's your first step in becoming a Trusted Meat Advisor and continuing our commitment to be a Better Place to Shop for our customers.

Audience: New-to-Role Meat Associates and Store Management

Language: English

Keywords: CRM, FPM, case ready fresh pre-packaged meat

 ",,Creating Alignment,Score < threshold
