Entity Type,Title,Description,Topic,Subject Area,Score
Collection,I'm new,This learning is required for all new colleagues to Specsavers. It will give you information about the business to make your induction the best it can be.,business,,0.83269113
Item,Getting Unstuck Tool,,Cannot be determined,,Score < threshold
Item,Unconscious bias guides for managers,"There are 9 guides that support the Unconscious Bias sessions that have rolled out across the business:

These guides are tailored to Specsavers to help you introduce, embed and advance the unconscious bias and inclusion conversation with your team. If you have any questions on how to use these guides with your team please speak to you HR Business Partner / HR Manager.",business,Diversity & Inclusion,0.9807735
Program,Welcome to Specsavers - P&O Team Members,"""The 'People & Organisation Induction Programme' has been designed to provide you with important information about the Global Specsavers business, as well as giving you an understanding of your obligations as a Specsavers Team Member.

This program includes a combination of guides, resources, e-learning modules and a 1 day face to face workshop which you will need to register to attend.

As a new starter in P&O, The People Function module in particular aims to give an insight into the global P & O function, including our structure and our plans & priorities. 

Please ensure that you complete the mandatory programme items within 30 days of your role commencement date.

Here's a snapshot of the learning you will undertake:

Mandatory


	People Function Induction Module
	Specsavers Online Induction
	Equal Employment Opportunity (EEO)
	Protecting Personal Information
	Work Health & Safety
	Quiz - Work Health & Safety
	Global Induction - Workshop


Optional


	Partnership Charter
	Video - Welcome to Specsavers
	Video - Should've Gone to Specsavers
	Vision & Values
	The Way we Work
	The Customer Journey
	Welcome to Specsavers - Additional Development Options


Should you have any issues accessing any of the development items, please contact the L&D Corporate Team at anz.learning@specsavers.com",leadership,,0.53302443
Item,Getting unstuck tool test,How to make a nomination for GOO.pdf,Safety and Security,,0.26475742
Item,Individual Adobe training,"3 hour Adobe training for Claire Windsor on 21-11-2018

Facilitator:

David Bernobic - Roving Training (via Donna Hanson - Prime Solutions)

Topics covered:

Acrobat
Exporting selected data to xls
Shortcuts
Indesign
Setting up master pages
Page numbering
Document setup
Placing images , PDFs and excel spreadsheets Import options
Stroke attributes
Adding arrows
Setting up CC libraries
Resizing images
Adding pages
Auto flow
Illustrator
Edit pdf in illustrator",adobe,,0.77085733
Item,Getting Unstuck Tool,"Developing yourself almost always requires a change in your behaviour. This is a process that takes time, discipline and effort and therefore can be hard to keep up.  

When you feel like you’re stuck, not making any progress or can’t seem to find your motivation to work on your development, the ""Getting Unstuck"" tool is for you. 

Use it to determine where you are stuck in your personal change process and what you can do to move forward.

 

Key Words: Development, developing, PDP, tool",change management,,0.73495054
Item,SYS_ADMIN_IMAGES,"For admin use only, not to be deleted. This item hosts images used throughout the system.","Art, Design & Media",,0.9266058
Program,Diversity and Inclusion Awareness,"To access the content in this Programme, you must first click the Enrol button.

 

From recruitment to retirement, it is important to recognise everyone as an individual and provide an environment to enable everyone to be the best they can be.

The purpose of this global programme is for Specsavers to be a truly inclusive place to work, and a key focus is to raise awareness about unconscious bias. 

By the end of this training you'll:


	understand how how unconscious bias impacts the world of work
	be aware of how to ensure you operate in an inclusive manner


More information on the D&I programme visit Inclusion at Specsavers on Yammer.",leadership,Diversity & Inclusion,0.9617335
Item,Contact Centre Security Training,,security,,0.98887247
