Entity Type,Title,Description,Topic,Subject Area,Score
Item,Consumer and Residential Mortgage Lending,,lending,,0.6815779
Item,Using Balanced Scorecards -UBC Sauder,,Cannot be determined,,Score < threshold
Item,PRL - LOCs: Part 3 - Trotter Case Study v2,,"Business, Finance, and Accountancy",,0.65417486
Item,1. HR Essentials: Leading for Engagement v3,,leadership,,0.6322219
Item,Staff Foreign Currency Benefit Agreement 2018,"All staff are required to read this document by February 17, 2018.",,The Code,Score < threshold
Item,Leveraging Feedback,"Please Note:  Registration is By Invitation Only

Genuine feedback allows each of us to grow, learn, improve and become more effective in how we work, interact and achieve results. In this workshop, participants will gain the skills, confidence and courage to effectively give and receive timely, specific, and candid feedback.",feedback,Leadership,0.9989982
Item,Sell Help Workshop,"This one-day workshop is open to Member Banking Specialists, Relationship Managers, and Cross-training Member Services Representatives.

This workshop will reinforce all components of the Help Process, focussing on how the Where You’re at Money Chat and Help Sheets should be used to Sell Help to our members that improves their overall financial well-being. Focus will be on building Money Chat and Sell Help skills as well as the discrete skills needed to make quality sales and referrals.",banking,Selling Help,0.9232384
Item,3. HR Essentials: Performance Management v4,"This 20 minute course would be helpful for any Coast people manager or individual in the Career Development Program for a Coast management position.

Topics:


	The manager’s and the employee’s role in performance management.
	The feedback model.
	Attributes of a successful coach and the coaching matrix.
	What to do if there are performance problems.",performance management,HR Essentials Series,0.6703403
Item,5. HR Essentials: Learning and Development v2,"This 15 minute course would be helpful for any Coast people manager or individual in the Career Development Program for a Coast management position.

Topics:


	Importance of learning and development.
	What you are accountable for as a manager.
	What courses are available through Corporate Learning.",information technology,HR Essentials Series,0.8868266
Item,Code Moment #4 2014 - Conflict of Interest,"The Code Moments are designed to bring The Code to life throughout the year. Each ""moment"" deals with situations that you, as a Coast Capital employee, might find yourself in those iffy moments where you might need to put The Code into action.",soft skills,Code Moments,0.7312722
Item,Tammie /Anglea Coaching,,soft skills,,0.56706
Item,Creditor Insurance Training Session Oct 2014,,insurance,,0.99551916
Item,Creditor Insurance Training 2014 - Nov 5 - 9:00 AM - 11:30 AM,,insurance,,0.99229527
Item,Creditor Insurance Training 2014 Nov 5 - 2:00 PM-4:30 PM,,insurance,,0.9938379
