Entity Type,Title,Description,Topic,Subject Area,Score
,Crear y personalizar elementos visuales en Excel 2013,"
Excel tiene más que sólo gráficos que ofrecer en el camino de la presentación visual . herramientas gráficas tales como imágenes , formas SmartArt , WordArt , y capturas de pantalla son todas las formas de mejorar el impacto visual de los documentos que tienden a estar dominados por números y texto . El curso muestra cómo insertar y editar formas , cuadros de texto e imágenes . Veremos cómo agregar un gráfico SmartArt y demostraremos cómo añadir marcas de agua a las hojas de cálculo . También vamos a ver cómo se pueden utilizar los temas del libro de trabajo para mejorar la presentación de sus datos . Este curso ayudará a preparar a los estudiantes para el examen de certificación Microsoft 77-420 : Excel 2013, que certifica a los individuos como Microsoft Office Specialist ( MOS ) : Excel 2013 .
Idioma: Español",microsoft office,Fundamental Skills,0.9989215
,Création et personnalisation d'éléments visuels dans Excel 2013,"
En matière de présentation visuelle, Excel a bien plus à offrir que des graphiques. Les outils graphiques tels que les images, les formes, SmartArt, WordArt et les captures d'écran permettent tous d'améliorer l'impact visuel des documents qui comportent essentiellement des chiffres et du texte. Ce cours explique comment insérer et modifier des formes, des zones de texte et des images. Vous apprendrez à ajouter un graphique SmartArt et à ajouter des filigranes dans vos feuilles de calcul. Vous découvrirez également comment utiliser les thèmes de classeur afin d'améliorer la présentation de vos données. Ce cours aide à préparer l'examen de certification Microsoft 77-420 : Excel 2013, qui délivre une certification MOS (Microsoft Office Specialist) : Excel 2013.
Langue: Français",microsoft office,Fundamental Skills,0.99918157
,Personalizar opciones y vistas en Excel 2013,"
Excel 2013 le permite personalizar las opciones y vistas para crear un entorno personalizado. Puede ocultar o mostrar las filas y las columnas para cambiar la forma en la que se muestran los datos, habilitar las opciones Mostrar y cambiar el nivel de zoom. Puede cambiar las vistas de libro de Normal a Diseño de página o a Vista previa de salto de página, o crear vistas personalizadas. En este curso, también abordaremos las maneras de organizar ventanas, entre las que se incluyen Organizar todo, Inmovilizar, Dividir y Ver en paralelo. También se le mostrará cómo cambiar las opciones predeterminadas para crear libros nuevos y personalizar la cinta y la barra de herramientas de acceso rápido. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-420: Excel 2013, el cual certifica a los estudiantes como Microsoft Office Specialist (MOS): Excel 2013.
Idioma: Español",microsoft office,Fundamental Skills,0.9990325
,Personnalisation des options et des modes d'affichage dans Excel 2013,"
Excel 2013 vous permet de personnaliser les options et les modes d'affichage afin de créer un environnement adapté à vos besoins. Vous pouvez modifier la manière dont les données apparaissent en masquant ou en affichant des lignes et des colonnes, en activant les options du groupe Afficher et en réglant le niveau de zoom. Vous pouvez changer le mode d'affichage d'un classeur entre Normal, Mise en page ou Avec sauts de page, ou encore créer un affichage personnalisé. Ce cours aborde également les méthodes pour organiser les fenêtres, avec notamment les options Réorganiser tout, Figer les volets, Fractionner et Côte à côte. Il vous explique également comment modifier les paramètres de création de classeurs par défaut, ainsi que personnaliser le ruban et la barre d'outils Accès rapide. Ce cours aide à préparer l'examen de certification Microsoft 77-420 : Excel 2013, qui délivre une certification MOS (Microsoft Office Specialist) : Excel 2013.
Langue: Français",microsoft office,Fundamental Skills,0.9990785
,Manipular datos en Excel 2013,"
Excel 2013 ofrece varias funciones que le permiten organizar y administrar datos, incluidas las herramientas para ordenar y filtrar, que resultan esenciales para el análisis de la información. El uso de estas funciones le permite ordenar, filtrar, agrupar y resumir datos para que pueda centrarse en los elementos clave. La organización de datos a través de los comandos de la pestaña Datos le permite presentar los datos de un modo lógico y fácil de comprender. Este curso explora las distintas formas de organizar datos en Excel 2013 usando funciones integradas. También explica cómo convertir texto en columnas para dividir el texto con facilidad. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-420: Excel 2013, el cual certifica a los estudiantes como Microsoft Office Specialist (MOS): Excel 2013.
 
Idioma: Español",microsoft office,Fundamental Skills,0.9989581
,Manipulation de données dans Excel 2013,"
Excel 2013 offre de nombreuses fonctions d'organisation et de gestion des données, dont des outils de tri et de filtrage, essentiels pour l'analyse de données. À l'aide des fonctions d'organisation des données, vous pouvez trier, filtrer, regrouper et structurer vos données, afin de vous concentrer sur leurs éléments clés. En organisant correctement vos données à l'aide des commandes de l'onglet Données, vous pouvez les présenter de manière logique et simple à comprendre. Ce cours explore l'organisation des données dans Excel 2013 à l'aide des fonctions intégrées. Il aborde également la conversion de texte en colonnes, ce qui permet de fractionner facilement du texte. Ce cours aide à préparer l'examen de certification Microsoft 77-420 : Excel 2013, qui délivre une certification MOS (Microsoft Office Specialist) : Excel 2013.
Langue: Français",microsoft office,Fundamental Skills,0.9932198
,Innovation Mastery: Making Ideas Bigger,"COURSE DESCRIPTION:

The Innovation Mastery curriculum is devised to cover the three most relevant areas to achieve our MDLZ goals for innovation: bigger, faster, more profitable growth.

Session 1: Making Ideas Bigger – Available Oct 2016 allows employees to learn how to make ideas bigger with greater probability of success using cutting edge problem solving tools in conceptualization.

PREREQUISITES:

Prior attending this virtual instructor-led course, please enroll first to and finish:

1. Innovation Basics (e-learning), and

2. Innovation Practitioner (face-to-face training).

REMINDERS:

Some training require manager approval to move to Enrolled status. Once enrolled, you will receive a registration confirmation email with Outlook calendar attachments which you need to Accept. You cannot withdraw from a course via Outlook and would need to do this by logging in to the MIU Learning Catalogue. Make sure you discuss with your manager prior enrolling into any scheduled offering.

For assistance with MIU Learning Catalogue issues, our support process is as follows:

-       If you experience an issue once inside the MIU Learning Catalogue, please refer to the Learning Catalogue Troubleshooting Guide (English only) or contact your HR Representative as follows:

          o    In countries supported by MBS Employee Services, please open an Online HR Request using category:  My Career / Learning & Development (MIU)

          o    In countries NOT supported by MBS Employee Services, please contact your local HR Solutions team. 

-     If your HR Representative cannot resolve the issue, they will communicate with the Global Learning Management team on your behalf.",creativity and innovation,Marketing,0.9504235
,"Buscar datos, validar datos y macros en Excel 2013","
Excel 2013 ofrece herramientas que permiten ahorrar tiempo para automatizar tareas repetitivas y administrar y validar datos. Puede importar archivos y agregar y ajustar columnas y filas, como así también Modificar las propiedades del libro. La característica Buscar y reemplazar permite buscar y reemplazar datos en un formato específico o dentro de la hoja de cálculo o el libro. También permite usar caracteres comodines para personalizar la búsqueda. La Validar datos se puede aplicar a una celda o rango para restringir los datos que se introducen. Puede establecer límites superiores e inferiores, restringir la cantidad de caracteres, colocar elementos en una lista o validar con otras celdas. Además, puede agregar mensajes de error e identificar datos no válidos. Este curso es también una introducción a las macros de Excel y le muestra cómo automatizar tareas repetitivas para que sea más fácil trabajar en Excel. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-420: Excel 2013, el cual certifica a los estudiantes como Microsoft Office Specialist (MOS): Excel 2013.
 
Idioma: Español",microsoft office,Fundamental Skills,0.9980288
,"Recherche et validation de données, et macros dans Excel 2013","
Excel 2013 propose des outils performants pour gérer et valider des données et automatiser les tâches répétitives. Vous pouvez importer des fichiers, ajouter des colonnes et des lignes et en ajuster la taille, et modifier les propriétés d'un classeur. Grâce à la fonctionnalité Rechercher et remplacer, les utilisateurs peuvent rechercher et remplacer des données dans un format spécifique ou dans la feuille de calcul ou le classeur. Ils ont également la possibilité d'utiliser des caractères génériques pour personnaliser la recherche. Il est possible d'appliquer une validation des données à une cellule ou une plage de cellules pour limiter les données pouvant être entrées. Il est également possible d'appliquer des restrictions plus ou moins importantes, de limiter le nombre de caractères, de placer des éléments dans une liste ou de les valider par rapport à d'autres cellules. Il est aussi possible d'ajouter des alertes d'erreur et d'identifier les données non valides. Ce cours présente également les macros d'Excel et montre comment automatiser des tâches répétitives afin de faciliter l'utilisation d'Excel. Ce cours aide à préparer l'examen de certification Microsoft 77-420 : Excel 2013, qu'il délivre une certification MOS (Microsoft Office Specialist) : Excel 2013.
Langue: Français",microsoft office,Fundamental Skills,0.995747
,Aplicar formato avanzado en Word 2013,"
Word 2013 cuenta con características que facilitan la aplicación de formato a los documentos para darles una apariencia profesional y estilizada. La pestaña Diseño cuenta con características que cambian la apariencia de todo el documento. Usted puede aplicar un tema rápidamente para darle continuidad visual al documento. También puede crear y personalizar un fondo de página fácilmente. En este curso, abarcaremos estas características y algunos consejos para ajustar la configuración de tabulaciones utilizando un Pegado especial para tener un mayor control sobre cómo el texto y su formato se pegan a un documento, ajustar el interlineado dentro de un párrafo y cambiar la configuración de autoformato para que cambie automáticamente la apariencia del texto. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-418: Word 2013, que certifica a los estudiantes como Microsoft Office Specialist (MOS): Word 2013.
Idioma: Español",microsoft office,Fundamental Skills,0.99784815
,Personalización avanzada de tabla en Word 2013,"
Word 2013 ofrece una variedad de formas para editar y trabajar en profundidad con tablas. Este curso contiene demostraciones sobre cómo ajustar el tamaño de tablas, cómo mover partes de una tabla, cómo convertir tablas en texto, cómo ordenar los datos de una tabla y cómo usar fórmulas para calcular datos numéricos. También presenta algunos métodos que permiten integrar tablas al resto del contenido de una página, con el fin de dar un aspecto profesional a los documentos. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-418: Word 2013, que certifica a los estudiantes como Microsoft Office Specialist (MOS): Word 2013.
Idioma: Español",microsoft office,Fundamental Skills,0.9975424
,Personnalisation avancée de tableaux dans Word 2013,"
Word 2013 propose un certain nombre de méthodes approfondies pour modifier et manipuler les tableaux. Ce cours montre comment redimensionner et déplacer des éléments dans un tableau, convertir un tableau en texte, trier les données d'un tableau et utiliser des formules pour calculer des données numériques. Il aborde également les méthodes d'intégration de tableaux dans le contenu d'une page afin de donner un aspect professionnel à votre document. Ce cours aide à préparer l'examen de certification Microsoft 77-418 : Word 2013 qui délivre une certification de MOS (Microsoft Office Specialist) : Word 2013.
Langue: Français",microsoft office,Fundamental Skills,0.9888943
,Insertar gráficos y aplicarles formato en Word 2013,"
Para agregar estética visual a un documento de Word 2013, puede elegir diferentes tipos de imágenes y listas gráficas explicativas. Puede hacer cambios atractivos con solo agregar sus propias imágenes o elegir imágenes prediseñadas de Office.com. En este curso, se explica cómo insertar en los documentos imágenes, formas, WordArt, SmartArt, capturas de pantalla, cuadros de texto e incluso videos en línea. Se enseña también cómo estilizar y añadir un título a estos objetos gráficos. Este curso ayudará a los estudiantes a prepararse para el examen de Microsoft Certification 77-418: Word 2013, que certifica a los estudiantes como Microsoft Office Specialist (MOS): Word 2013.
Idioma: Español",microsoft office,Fundamental Skills,0.9757141
,Insertion et mise en forme de graphiques dans Word 2013,"
Pour améliorer l'attrait visuel d'un document Word 2013, vous pouvez choisir parmi différents types d'images et listes de graphiques descriptives. Vous pouvez appliquer des modifications attrayantes en ajoutant simplement vos propres images ou choisir des images en ligne. Ce cours explique comment ajouter aux documents des images, des formes, des objets WordArt, des graphiques SmartArt, des captures d'écran, des zones de texte, voire des vidéos en ligne. Il décrit également comment styliser et ajouter une légende à ces objets graphiques. Ce cours aide à préparer l'examen de certification Microsoft 77-418 : Word 2013 qui délivre une certification de MOS (Microsoft Office Specialist) : Word 2013.
Langue: Français",microsoft office,Fundamental Skills,0.9990828
