,Title,Description,Topic,Subject Area,Score,type
88318,Saltine Cracker Toffee to Make You Go Oooooh!,"Saltine cracker toffee may sound crazy, but we swear it isn't. It's a quick and easy toffee treat made with Saltine crackers for a sweet and salty delight!",taste,news,0.08937956204558217,1 - Topic determined by algorithm
172949,Don't Get Stuck in Regret,"Most of my clients this week had a theme of being stuck in regret. And I laughed to myself because I was actually in the middle of doing the same round of work on myself that I was asking them to do.  Since I was so raw in this area, I was even more able to help than usual.",wellness,news,0.2140540719351448,
90366,7 Unforgettable Graduations From TV And Movies,,entertainment,news,0.3137859758332725,3 - Topic calculated with low confidence score and no subject area available
26067,'Backpack Kid' Upstaged Katy Perry On 'SNL' And Mesmerized The Internet,"Last night, a star was born.",entertainment,news,0.09469844789242787,2 - Topic unable to be determined – subject area used instead
26847,Who Are The Out-of-Town Billionaires Trying To Defeat Steve Zimmer?,"Some of America’s most powerful corporate plutocrats want to take over the Los Angeles school system but Steve Zimmer, a",politics,news,0.13312314964056282,
121427,Listen To 3 New Songs From The Tupac Musical,,entertainment,news,0.06213342849387271,1 - Topic determined by algorithm
30200,Reminder: Susan Rice Isn’t Under Investigation. Trump And His Team Are.,Republicans continue to be fixated with Susan Rice.,politics,news,0.27756122346873324,
43244,Donald Trump Effigy Burns In England As Part Of Bonfire Night Celebrations,"“I think he would be quietly amused,” said artist Frank Shepherd.",the worldpost,news,0.22338651753268912,
196532,Toddler Reciting Shakespeare And More Babies Doing Adult Things (VIDEO)(PHOTOS),"Some toddlers learn their ABCs and 123s. Others study British lit. Or, at least this one does. In the video above, our new",parenting,news,0.7430590093081061,3 - Topic calculated with low confidence score and no subject area available
90772,"Women in Business: Laura Fegley, Executive Creative Director, Bartle Bogle Hegarty","As an Executive Creative Director at BBH, Laura Fegley has helped build a uniquely gender-balanced creative department. Laura oversees the Global Vaseline business and various brands under the Newell-Rubbermaid account, including Graco and Calphalon, as well as The Guardian in North America.",business,news,0.4826095102234801,3 - Topic calculated with low confidence score and no subject area available
155805,GPS Guide: Bulbul Bahuguna Shares How To Delete Toxic Thoughts (PHOTOS),Sometimes your thoughts spin round and round. Especially when they are distressing. You cannot stop them. Like you cannot,wellness,news,0.2228553578508351,3 - Topic calculated with low confidence score and no subject area available
192106,How a Motherless Daughter Gets Through Mother's Day,"As this Mother's Day looms, I think about how other motherless daughters cope. How can we feel included and feel better?",wellness,news,0.3646372735643733,
189162,Google Maps Event Scheduled For June 6: What To Expect,Join us on June 6 at 9 a.m. to see what Google will unleash. (And check back with us on June 11 to see if Apple announces,tech,news,0.049057571162995584,3 - Topic calculated with low confidence score and no subject area available
91859,5 Faith Facts About Presidential Candidate Mike Huckabee,,religion,news,0.4103081951040424,
61846,U.S. To Keep Fighting For Apple To Unlock iPhone In New York Drug Case,The battle continues after the U.S. backed down in the case of the San Bernardino attacker's iPhone.,tech,news,0.987762210836718,1 - Topic determined by algorithm
104515,5 Winter Workouts To Keep Your Brain In Shape,"While it's very tempting to curl up in front of the TV on winter nights and mindlessly drown in your favorite show, doing so will make your brain lethargic, and winter's only just started!",healthy living,news,0.69184879902228,
37084,Why Education Secretary Nominee Betsy DeVos Is A Dangerous Threat to LGBTQ Equality,"Trump's pick is an anti-LGBTQ crusader who wants to ""advance God's Kingdom.""",queer voices,news,0.9341231171654985,1 - Topic determined by algorithm
18573,Twitter Blasts Ex-Google Employee Who Says Being Conservative Is Like Being Gay In The '50s,Nope. Not even close.,queer voices,news,0.7189435520582466,3 - Topic calculated with low confidence score and no subject area available
20495,Caring For Our Transgender Troops And The Negligible Cost Of Transition-Related Care,"Though costs can be high per treated person, they are low as a percentage of total health spending.",politics,news,0.7535667773456961,1 - Topic determined by algorithm
68459,"Meet Hollis Wong-Wear And Jamila Woods, The Women Of Color Behind Macklemore's 'White Privilege II'","Macklemore and Ryan Lewis have released an eight-minute song featuring Jamila Woods, “White Privilege II,” about white privilege",women,news,0.3045216565722162,1 - Topic determined by algorithm
10159,"This Student Knows What She'll Be Wearing All Semester. Thanks, Twitter.",She thinks that she shall never see a day she's not dressed as a tree.,weird news,news,0.9994421796198552,1 - Topic determined by algorithm
43250,"Born Before Women Could Vote, Now She's Voting For A Woman President",Edith Wilkinson was born 5 days before the 19th Amendment was ratified.,women,news,0.5734993728535807,2 - Topic unable to be determined – subject area used instead
5781,NBC Commentator Whose Insensitive Japan Comments Sparked Furor Is Done Covering Olympics,Joshua Ramo infuriated Koreans and others with comments about Japan and Korea's history that viewers said glossed over the two nations' troubled past.,sports,news,0.6781016903248077,1 - Topic determined by algorithm
73219,Reagan Administration's Chilling Reaction To The AIDS Crisis,"A new short film, When AIDS Was Funny, unearths never-before-heard audio reaction to the escalating AIDS crisis.",politics,news,0.6987977819914387,1 - Topic determined by algorithm
101364,You Have the Right to Remain Obnoxious,"The right of free speech the NYPD are angry about when it comes to the demonstrators is precisely the same right of free speech they're using to harass de Blasio. And it's that same ideal of free speech, no matter how noxious it might seem, for which those police in Paris died last week.",politics,news,0.26713080426795033,
141144,Matthew Stafford Fake Spike Touchdown Dive Stuns Cowboys And Evokes Dan Marino (VIDEO/GIF),(GIF via @BuzzFeedSports) The daring touchdown reach leveled the score at 30-30 and the ensuing extra point gave Detroit,sports,news,0.9662243880999292,3 - Topic calculated with low confidence score and no subject area available
108475,"Lululemon Partners With Dalai Lama, Enrages Critics",,business,news,0.8989024484914935,1 - Topic determined by algorithm
119674,Only You Can Help These Animals Get The High Fives They Deserve,Cue Sarah McLachlan vocal feels.,comedy,news,0.6424238809029981,
67534,Sheila Bair Says There's A Big Problem With ‘The Big Short’,She won't even watch it.,politics,news,0.7692003581022476,3 - Topic calculated with low confidence score and no subject area available
180854,"Rihanna, Miley Cyrus And More Go Punk With Undercut Hairstyle (PHOTOS)",We're realizing that most trends from the '90s (good and not so good) have a way of reintroducing themselves. The undercut,style & beauty,news,0.8634494401960182,2 - Topic unable to be determined – subject area used instead
34469,Hamas Picks Hard-Liner As New Leader In Gaza,Yehya Al-Sinwar was freed in a 2011 prisoner swap with Israel after more than 20 years in jail.,the worldpost,news,0.4520531985778958,2 - Topic unable to be determined – subject area used instead
73985,Tamir Rice's Family Demands Justice One Year After His Death,His cousin started a petition to get answers.,black voices,news,0.9551529694017012,2 - Topic unable to be determined – subject area used instead
194319,Weighed Down,"I have a friend whose husband said he would divorce her if her weight ever reached Pretty Big Number (PBN). The woman in question is five feet tall, currently weighs 110, and is in relative control of her health.",divorce,news,0.21381170340247024,1 - Topic determined by algorithm
116232,"Guatemala, Honduras and El Salvador Governments Must Reassess Their Priorities","For there to be real progress, there must be a real focus on the issues that matter. It's time for the governments of Guatemala, El Salvador and Honduras to assume responsibility, look introspectively, clean up and strengthen their institutions to stop the exodus.",latino voices,news,0.5490012998657968,2 - Topic unable to be determined – subject area used instead
163169,Mother Trucker: Why I Quit My Day Job,"Owning a food truck isn't where I saw my life heading when I was in college. I didn't realize when I decided to take this business plunge that my new eau de parfum was going to have natural hints of vanilla and brown sugar, but then again, I didn't anticipate a lot of things.",food & drink,news,0.30734713100720396,
3524,How 'To Wong Foo' Paved The Way For The 'Drag Race' Phenomenon,Both became pop culture legend by infiltrating the mainstream with camp and complexity.,queer voices,news,0.3906904535768747,1 - Topic determined by algorithm
85470,"Emmy Nominations 2015 Spotlight 'Game Of Thrones,' 'Mad Men' And 'Better Call Saul'","Bless you, Academy of Television Arts & Sciences, for making the merciful decision to announce to the 2015 Emmy Award nominations",entertainment,news,0.4607007259688584,2 - Topic unable to be determined – subject area used instead
24078,Twitter Lets Trump Know Who His Daddy Is With #TrumpFathersDayFilms,"Papa, don't tweet.",comedy,news,0.7705305217208471,3 - Topic calculated with low confidence score and no subject area available
150023,An Open Letter to a New Mom,"If you broke, who would stay up at night, terrified of the shadows? Who would hold your tiny miracle just right, who would love him and smell the top of his head? Who would stare at him, marveling while he slept in their arms?",parenting,news,0.7445961433927543,
133576,6 Homey Hideaways That Will Help You Find Some Peace (PHOTOS),The stress and strain of constantly being connected can sometimes take your life -- and your well-being -- off course. GPS,wellness,news,0.7714234468467303,3 - Topic calculated with low confidence score and no subject area available
115063,War Is Hell,"I spent a part of last week in Israel and Sherman's words echoed in my mind all through the trip and, as the rockets and subsequent retaliations continue, I can almost hear him... ""war is hell.""",politics,news,0.1176273702121008,3 - Topic calculated with low confidence score and no subject area available
182327,The P90X of Yoga Has Arrived,"Many of the millions of people who actually do yoga in this country do it so they will look hot and have a rocking body, while many of the people who teach and cultivate yoga in this country turn a blind eye to this and pretend that everyone does yoga purely for the deep spiritual insight.",wellness,news,0.11197917671721502,2 - Topic unable to be determined – subject area used instead
99138,Hands Up. Don't Foreclose.,"We need to focus on keeping families in their homes, providing children stability, and restoring trust and respect between families and banks, law enforcement, and our government. ""Hands Up. Don't Foreclose.""",impact,news,0.1711076962977599,
119035,HUFFPOLLSTER: Obama's Approval Rating Takes A Dip,,politics,news,0.8719930890350056,3 - Topic calculated with low confidence score and no subject area available
13064,California Rep. Jackie Speier Launches #MeTooCongress,"The Democratic congresswoman calls Capitol Hill ""a breeding ground for a hostile work environment.""",politics,news,0.04695146699742103,2 - Topic unable to be determined – subject area used instead
144637,Cute Kid Note Of The Day: Macy's School Hairstyles,"Style star: Now that Macy's got her hair calendar sorted out, hopefully she can focus on her schoolwork. Because: YOLO Age",parenting,news,0.7400235200898128,
23471,Ironworker Randy Bryce Challenges Paul Ryan In Powerful New Ad: 'Let's Trade Places',"""Paul Ryan, you can come work the iron and I’ll go to D.C.""",politics,news,0.07125533560384001,1 - Topic determined by algorithm
82298,Explosion At JFK High School In The Bronx Injures 3,Contractors working at night were injured in the blast.,crime,news,0.6836412288929065,3 - Topic calculated with low confidence score and no subject area available
142666,What To Sell And What To Save After The Wedding,Photo by: Daniel Usenko on Every Last Detail via Lover.ly Cozy campground weddings Special Accents The most resold item from,weddings,news,0.1816906376546156,1 - Topic determined by algorithm
39466,On The Promise Of Post-Racial America,"I am a Millennial. By virtue of being born in the fall of 1990, I’m a member of the generation for which the illusion of",black voices,news,0.7753599289598164,3 - Topic calculated with low confidence score and no subject area available
121220,The Weekly Rune -- Raidho,,healthy living,news,0.4246335322498326,3 - Topic calculated with low confidence score and no subject area available
135239,First Look At 'Gone Girl' Shows Ben Affleck As Nick Dunne,"“I don’t want to give away too much, because if you know the book, you know that there are set of reveals that you would",entertainment,news,0.7984957439821679,
81080,"Alaska Wife Steals Patrol Car Holding Hubby, Police Say","When officers were distracted, the wife jumped into the patrol car and drove off.",weird news,news,0.2781519243870132,3 - Topic calculated with low confidence score and no subject area available
150657,Hunter S. Thompson's Childhood Home Used To Include 'The Gates Of Hell' (PHOTO),"Once you learn who used to live here, you wouldn't be surprised.",home & living,news,0.9272810904538872,2 - Topic unable to be determined – subject area used instead
90200,5 Tips To Help You Deal With An Estranged Child,"In my studies of the lives of older Americans, I learned that almost nothing is as painful to them as estrangement from an adult child. When I wrote a blog post on this topic, it led to an extraordinary outpouring of interest that both surprised and moved me. When we reach the later years, our dream is to be surrounded by loving children and grandchildren.",fifty,news,0.4914274365740064,1 - Topic determined by algorithm
20785,White House Says It's Open To Legislation Toughening Russia Sanctions,"Republicans and Democrats reached an agreement allowing new sanctions targeting Russia, Iran and North Korea earlier this week.",politics,news,0.7580762453567294,3 - Topic calculated with low confidence score and no subject area available
152425,Religiously Queer,"As we celebrate Pride Month and the anniversary of the Stonewall uprising by LGBT bar patrons fighting back against the police, who were trying violently to arrest them, I wonder why more liberals and progressives don't seek to learn about a fascinating ancient theology called Gnosticism.",queer voices,news,0.8268115829496074,2 - Topic unable to be determined – subject area used instead
168766,Hangover Food: Asparagus Might Help Your Headache,"Even if you're not planning on drinking anytime soon, adding asparagus to your diet couldn't hurt -- it also has anticancer and antifungal effects.",food & drink,news,0.17901633158023111,3 - Topic calculated with low confidence score and no subject area available
20872,"Friday's Morning Email: Russia Probe Widens, As Trump Team Reportedly Weighs Pardons To Avoid It","The news of the day for Friday, July 21, 2017.",politics,news,0.25361669234537065,2 - Topic unable to be determined – subject area used instead
97042,Disney Fail Costs 'Wheel Of Fortune' Contestant Big,,entertainment,news,0.5948332842039029,
42449,WhatsApp Finally Adds Fully-Encrypted Video Calling Service,The new service will provide another means for people to communicate without fear of eavesdropping.,tech,news,0.17509986661071908,
42997,14 Hopeful Tweets From African Americans In The Wake Of Trump's Win,"""Mourn, gather, organize, repeat.""",black voices,news,0.995940060103776,2 - Topic unable to be determined – subject area used instead
192628,Parenting Without Gender Expectations Means Accepting All Outcomes,I watched in horror as I recognized the following flicker of cognition in Avie's eyes. He saw the girl pile on the floor as a perfect opportunity for a pile-on.,parenting,news,0.4537128599545872,1 - Topic determined by algorithm
