Entity Type,Title,Description,Topic,Subject Area,Score,Manual,Correct
Item,Lead By Example #38: Avoid the Blame Game,"In this course, we'll discuss the problems of blame in the workplace as a common, but ultimately negative, pursuit. It proposes finding steps to solutions through communication and details a number of strategies to do this.",[],,[],communication,1
Item,Setting Sound Goals,"In this course, we discuss the importance of goal-setting for managers, and we'll introduce the characteristics of sound goals.",[],,[],soft skills,0
Item,Tracking Progress with Controls,"In this course, we discuss establishing controls by which to track progress. It's important that these controls be neither too detailed nor too complicated.",[],,[],management,0
Item,Delegating Authority,"This course addresses delegation of authority. Specifically, it deals with the ways delegation can be done effectively, why some managers avoid delegation, the benefits of delegation and the components of delegation, authority, responsibility and accountability.",[],,[],leadership,0
Item,Matching Applicants with Job Specifications and Conducting Interviews,This course discusses job specifications and how to filter candidates for a job interview using them. It also discusses interviews and provides some helpful suggestions for how an interview should be conducted.,[],,[],human resource management,0
Item,Motivational Theorists Whose Theories Work in Practice,This course deals with the motivational theories of Douglas McGregor as well as the Herzberg's Theory of job-related factors that determine motivation. It will also discuss how their ideas relate to motivation in your workplace.,[],,[],soft skills,0
Item,Quantify Performance Goals if Possible,This course discusses the benefits of expressing goals in numerical form. It also outlines the benefit of keeping a record of employee performance as well as some words of caution about doing so responsibly.,[],,[],soft skills,0
Item,The Progressive Discipline Process,"This course discusses the progressive discipline process, including the different categories of offense and the appropriate response, as well as reasons for frequent repeated offenses.",[],,[],legal,0
Item,The Disciplinary Conference and Grievances,This course discusses appropriate conduct and suggestions for disciplinary conferences. It also covers the grievance process and the steps that must be taken as well as the processes for union and nonunion organizations.,[],,[],management,0
Item,"Leading A Diverse Workforce, Part 1","In part one of this course for new managers, we discuss the importance of leading a diverse workforce. We'll talk about some of the benefits of diversity in the workplace as well as covering some different types of diversity.",[],,[],human resource management,0
Item,Making Delegated Decisions Work for You,"Certain types of decisions benefit from using the delegation style. This course will explain what a delegated decision is, when it should be used, and when it should be avoided.",[],,[],decision making,0
Item,Stakeholder Analysis Alternatives,There are three helpful tools for analyzing stakeholders and their involvement with your project. You will learn how to use these as well as how best to deal with problems common in the Project Manager-Stakeholder relationship.,[],,[],management,0
Item,Responsibility Allocation,"It is important to identify the properties of the Responsibility Allocation Matrix, such as types of project roles as well as the expected roles and requirements of your resources. Jeff Crow will discuss what questions to ask of yourself and your resources in order to know where certain responsibilities lie for your project.",[],,[],project management,0
Item,Project Complexity Analysis,"Do you often feel overwhelmed in the middle of complex projects? In this course, Ron Sarazin discusses project complexity and analyzes project dimensions for the best approach. He also gives some tips on how to respond to complexity, as well as some management tools you might find useful.",[],,[],project management,0
Item,Estimating Task and Activity Durations,"In order to effectively manage teams, you need to track time efficiently. The key to this is getting accurate time estimates from your team members. In this course, Ron Sarazin discusses how to clarify estimates with your team members and the importance of communication.",[],,[],project management,0
Item,The PERT Chart,"Have you ever wondered how you can be more efficient at managing multiple projects tasks at one time? In this course, Ron Sarazin covers PERT charts, a handy way of tracking and managing your projects. He delves into some of the history behind PERT, and how to make a PERT chart, and why it is useful.",[],,[],project management,0
Item,Top 10 Mistakes of Managers,"Becoming a manager for the first time is an exciting step forward in your career, but there are certain behaviors that can be pitfalls in your new position. In this course, Jean Meeks-Koch discusses the potential successes or failures of a new manager and she'll cover ten mistakes that new managers sometimes make as well as ways to avoid them.",[],,[],management,0
Item,Planning at the Top and Senior Level,"In this course, Jean Meeks-Koch will teach you the steps of a plan as it is developed and then implemented at different levels within your company. You will also learn how to keep your project from failing as it transitions from an idea to a reality.",[],,[],production planning,0
Item,Benefits and Pitfalls of Planning,"In this course, Jean Meeks-Koch will discuss the benefits of planning in an organization as well as some common problems. You will learn how to avoid the pitfalls while getting the most out of the plans you make.",[],,[],production planning,0
Item,MF AICC Import Test,Q1_2015_Patch_ReadMe_Notes.pdf,[],,[],,
Item,Veilig betreden van daken en werken op hoogte,Veilig betreden van daken en werken op hoogte,[],Unilin Functional Training,[],,
Item,Stages of Corporate Responsibility,"How can a company become known as a good corporate citizen? In this course, we'll describe how to maximize the reputation of your business with the five stages of corporate responsibility, including the defensive, compliant, managerial, strategic, and civil stages.",[],,[],corporate social responsibility,0
Item,Operational Plans: The Single Use Plan,"In this three-part course, Jean Meeks-Koch will explain operational plans, specifically one-time or single use plans. You will also learn tips for putting plans together and for making them accessible to your entire team.",[],,[],production planning,0
Item,Operational Plans: The Standing Plan,"In part two of this three-part course, Jean Meeks-Koch will discuss when and how standing plans are used. She will also cover the parts that make up standing plans and how to make one that will work efficiently in your workplace.",[],,[],production planning,0
Item,Operational Plans: Budgets,"In this course, Jean Meeks-Koch will teach you essential knowledge of operational plans and budgets. You will learn how to plan out your budget as well as how to watch it and make sure it stays on track throughout the project.",[],,[],production planning,0
